Debbie Wood,['Company Pivotal Position Product Manager']
James Wynne,"['Company Pivotal Position Staff Software Engineer Location Dublin, Ireland']"
Panagiotis Xynos,"['Company Engineer Better Position Senior Software Engineer Location London, England']"
Bo Yang,['Company IBM Position Senior Technical Staff Member']
Enes Yildirim,['Company Boeing Position General Manager of Digital Transformation Environment Location Greater Seattle Area']
Enes Yildirim,['Company Boeing Position Boeing Digital Transformation Environment Global Program Leader']
Dan Young,['Company Engineer Better']
Denise Yu,['Company Pivotal Position Software Engineer']
Alex Zalesov,"['Company Altoros Position Cloud Architect Location Minsk, Belarus']"
Gong Zhang,['Company IBM Position Advisory Software Engineer Location Beijing']
David Zimmerli,"['Company Swisscom Position Product Manager Location Zurich, Switzerland']"
Cassie Zimmerman,['Company Redis Labs Position Alliances Lead']
Steffen Zuber,['Company anynines Position Platform-Engineer']
学翔 崔,['Company IBM Position 软件工程师']
Oliver Wolf,[u'Company anynines Position Lead Platform Engineer']
Rachael Wonnacott,[u'Company Fidelity International Position PaaS Engineer']
Debbie Wood,[u'Company Pivotal Position Product Manager']
James Wynne,"[u'Company Pivotal Position Staff Software Engineer Location Dublin, Ireland']"
Panagiotis Xynos,"[u'Company Engineer Better Position Senior Software Engineer Location London, England']"
Bo Yang,[u'Company IBM Position Senior Technical Staff Member']
Enes Yildirim,[u'Company Boeing Position General Manager of Digital Transformation Environment Location Greater Seattle Area']
Enes Yildirim,[u'Company Boeing Position Boeing Digital Transformation Environment Global Program Leader']
Dan Young,[u'Company Engineer Better']
Denise Yu,[u'Company Pivotal Position Software Engineer']
Alex Zalesov,"[u'Company Altoros Position Cloud Architect Location Minsk, Belarus']"
Gong Zhang,[u'Company IBM Position Advisory Software Engineer Location Beijing']
David Zimmerli,"[u'Company Swisscom Position Product Manager Location Zurich, Switzerland']"
Cassie Zimmerman,[u'Company Redis Labs Position Alliances Lead']
Steffen Zuber,[u'Company anynines Position Platform-Engineer']
